Id,ListId,Title,Note,Priority,Reminder,UserId,Description,DueDate,Labels,CompletedAt,Done
55,11,Plan weekend trip,Choose location,1,,4,Short getaway,2025-07-06T12:00:00,"travel,leisure",,false
56,12,Attend webinar,Topic: cloud,1,2025-06-26T16:00:00,4,Join online event,2025-06-26T17:00:00,"work,learning",,false
57,12,Buy vegetables,For dinner,0,2025-06-26T18:00:00,4,Fresh produce,2025-06-26T19:00:00,"shopping,home",,false
58,12,Fix door handle,Loose screw,1,,4,Repair kitchen door,2025-06-27T12:00:00,"home,maintenance",2025-06-27T13:00:00,true
59,12,Write feedback,For service,0,,4,Review online,2025-06-28T20:00:00,"personal,review",,false
60,12,Call bank,Ask about charges,2,2025-06-27T09:00:00,4,Clarify statement,2025-06-27T10:00:00,"finance,urgent",,false
61,13,Buy bread,Whole grain,0,2025-06-26T08:00:00,5,For breakfast,2025-06-26T09:00:00,"shopping,home",,false
62,13,Go swimming,Morning exercise,1,2025-06-27T07:00:00,5,Swim 20 laps,2025-06-27T08:00:00,"health,fitness",,false
63,13,Read magazine,Tech trends,0,,5,Latest issue,2025-06-29T21:00:00,"leisure,tech",,false
64,13,Pay phone bill,Due soon,2,2025-06-28T10:00:00,5,Pay online,2025-06-30T23:59:00,"finance,urgent",2025-06-28T11:00:00,true
65,13,Organize bookshelf,Sort by genre,0,,5,Arrange books,2025-07-01T20:00:00,"home,personal",,false
66,14,Plan birthday dinner,Book restaurant,1,2025-06-29T18:00:00,5,For Emma,2025-07-02T20:00:00,"family,party",,false
67,14,Buy movie tickets,For Friday,0,2025-06-27T19:00:00,5,Book online,2025-06-28T20:00:00,"leisure,entertainment",,false
68,14,Fix laptop,Screen issue,2,2025-06-26T15:00:00,5,Repair at service center,2025-06-27T12:00:00,"tech,urgent",2025-06-26T16:00:00,true
69,14,Read emails,Clear inbox,0,,5,Check all unread,2025-06-26T10:00:00,"work,communication",,false
70,14,Buy flowers,For home,0,2025-06-27T17:00:00,5,Decorate living room,2025-06-28T10:00:00,"home,shopping",,false
71,15,Write thank you note,For gift,1,,5,Send to Anna,2025-06-27T18:00:00,"personal,gratitude",,false
72,15,Go hiking,Saturday morning,1,2025-06-28T07:00:00,5,Trail with friends,2025-06-28T12:00:00,"health,leisure",,false
73,15,Buy dog food,Check brand,0,2025-06-26T18:00:00,5,For Max,2025-06-27T09:00:00,"pets,shopping",,false
74,15,Plan study session,Math revision,1,2025-06-27T16:00:00,5,Prepare for exam,2025-06-28T10:00:00,"study,personal",,false
75,15,Read article,On productivity,0,,5,Share with team,2025-06-29T21:00:00,"work,learning",,false
